"route_number","stop_name","hour","minutes"
"314","იასამნის ქუჩა - [3742]","STOP_NAME","31"
"314","იური გაგარინის ქუჩა #24 - [3292]","STOP_NAME","32"
"314","ელისაბედ ჩერქეზიშვილის ქუჩა - [1166]","STOP_NAME","33"
"314","ოჩამჩირის ქუჩა - [3293]","STOP_NAME","34"
"314","ზურაბ ჟვანიას მოედანი - [4574]","STOP_NAME","35"
"314","ეროვნული არქივი - [4130]","STOP_NAME","36"
"314","მ/ს "სამედიცინო უნივერსიტეტი" - [1050]","STOP_NAME","37"
"314","ოთარ ჭილაძის ქუჩა - [1051]","STOP_NAME","38"
"314","რესპუბლიკური საავადმყოფო - [1054]","STOP_NAME","39"
"314","სამედიცინო უნივერსიტეტი - [1055]","STOP_NAME","40"
"314","მიხეილ ასათიანის ქუჩა - [997]","STOP_NAME","41"
"314","მ/ს "დელისი" - [2129]","STOP_NAME","42"
"314","მარშალ არჩილ გელოვანის პარკი - [1263]","STOP_NAME","43"
"314","ვაჟა-ფშაველას გამზირი #57 - [3099]","STOP_NAME","44"
"314","მ/ს "ვაჟა-ფშაველა" - [1261]","STOP_NAME","45"
"314","ვარლამ თოფურიას ქუჩა - [1259]","STOP_NAME","46"
"314","მიხეილ შავიშვილის ქუჩა - [1256]","STOP_NAME","47"
"314","ვაჟა-ფშაველას გამზირი #91 - [3100]","STOP_NAME","48"
"314","მ/ს "სახელმწიფო უნივერსიტეტი" - [1254]","STOP_NAME","49"
"314","სპეციალური პენიტენციური სამსახური - [1252]","STOP_NAME","50"
"314","ბაგების საბაგირო - [976]","STOP_NAME","51"
"314","უნივერსიტეტის მაღლივი კორპუსი - [977]","STOP_NAME","52"
"315","დიდი დიღომი IV მ/რ (ავტობაზა #2) - [1188]","STOP_NAME","1"
"315","#192-ე საჯარო სკოლა - [1190]","STOP_NAME","2"
"315","არჩილ მეფის ქუჩა #12 - [3316]","STOP_NAME","3"
"315","არჩილ მეფის ქუჩა #8 - [1191]","STOP_NAME","4"
"315","მარკო პოლოს ქუჩა - [3314]","STOP_NAME","5"
"315","დავით ბატონიშვილის ქუჩა - [1192]","STOP_NAME","6"
"315","იან ჰომერის ქუჩა - [3850]","STOP_NAME","7"
"315","მირიან მეფის ქუჩა #100 - [1193]","STOP_NAME","8"
"315","მირიან მეფის ქუჩა #90 - [1194]","STOP_NAME","9"
"315","თეიმურაზ I-ის ქუჩა - [4333]","STOP_NAME","10"
"315","ტარიელის ქუჩა - [2506]","STOP_NAME","11"
"315","გიორგი ბრწყინვალეს ქუჩა - [1196]","STOP_NAME","12"
"315","პეტრე იბერის ქუჩა #16 - [4200]","STOP_NAME","13"
"315","იოანე პეტრიწის ქუჩა #14 - [1197]","STOP_NAME","14"
"315","იოანე პეტრიწის ქუჩა #8 - [1198]","STOP_NAME","15"
"315","იოანე პეტრიწის ქუჩა #4 - [1199]","STOP_NAME","16"
"315","ფარნავაზ მეფის გამზირი - [2497]","STOP_NAME","17"
"315","გიორგი ბრწყინვალეს ქუჩა - [1200]","STOP_NAME","18"
"315","ანბანის სკვერი - [3697]","STOP_NAME","19"
"315","დავით აღმაშენებლის ხეივანი მე-12 კილომეტრი - [1201]","STOP_NAME","20"
"315","ჭაშნაგირის ქუჩა - [1203]","STOP_NAME","21"
"315","დაცვის პოლიცია - [2785]","STOP_NAME","22"
"315","ლევან ფიცხელიანის ქუჩა - [1202]","STOP_NAME","23"
"315","13 ასურელი მამის ქუჩა - [2064]","STOP_NAME","24"
"315","საქალაქო სასამართლო - [1205]","STOP_NAME","25"
"315","დავით აღმაშენებლის ხეივანი #44 - [3601]","STOP_NAME","26"
"315","ევგენი მიქელაძის ქუჩა - [4198]","STOP_NAME","27"
"315","სოფელ დიღმის გადასახვევი - [1174]","STOP_NAME","28"
"315","პოლიციის დეპარტამენტი - [2166]","STOP_NAME","29"
"315","გარემოს დაცვისა და სოფლის მეურნეობის სამინისტრო - [1171]","STOP_NAME","30"
"315","იასამნის ქუჩა - [3742]","STOP_NAME","31"
"315","იური გაგარინის ქუჩა #24 - [3292]","STOP_NAME","32"
"315","ელისაბედ ჩერქეზიშვილის ქუჩა - [1166]","STOP_NAME","33"
"315","ოჩამჩირის ქუჩა - [3293]","STOP_NAME","34"
"315","ზურაბ ჟვანიას მოედანი - [4574]","STOP_NAME","35"
"315","ეროვნული არქივი - [4130]","STOP_NAME","36"
"315","მ/ს "სამედიცინო უნივერსიტეტი" - [1050]","STOP_NAME","37"
"315","ოთარ ჭილაძის ქუჩა - [1051]","STOP_NAME","38"
"315","რესპუბლიკური საავადმყოფო - [1054]","STOP_NAME","39"
"315","სამედიცინო უნივერსიტეტი - [1055]","STOP_NAME","40"
"315","მიხეილ ასათიანის ქუჩა - [997]","STOP_NAME","41"
"315","მ/ს "დელისი" - [2129]","STOP_NAME","42"
"315","მარშალ არჩილ გელოვანის პარკი - [1263]","STOP_NAME","43"
"315","ვაჟა-ფშაველას გამზირი #57 - [3099]","STOP_NAME","44"
"315","მ/ს "ვაჟა-ფშაველა" - [1261]","STOP_NAME","45"
"315","ვარლამ თოფურიას ქუჩა - [1259]","STOP_NAME","46"
"315","მიხეილ შავიშვილის ქუჩა - [1256]","STOP_NAME","47"
"315","ვაჟა-ფშაველას გამზირი #91 - [3100]","STOP_NAME","48"
"315","მ/ს "სახელმწიფო უნივერსიტეტი" - [1254]","STOP_NAME","49"
"315","სპეციალური პენიტენციური სამსახური - [1252]","STOP_NAME","50"
"315","ბაგების საბაგირო - [976]","STOP_NAME","51"
"315","უნივერსიტეტის მაღლივი კორპუსი - [977]","STOP_NAME","52"
"320","დიდი დიღომი IV მ/რ (ავტობაზა #2) - [1188]","STOP_NAME","1"
"320","#192-ე საჯარო სკოლა - [1190]","STOP_NAME","2"
"320","არჩილ მეფის ქუჩა #12 - [3316]","STOP_NAME","3"
