"route_number","stop_index","stop_name"
"301","30","ელენე ახვლედიანის აღმართი - [2994]"
"301","31","ნიკოლოზ ბარათაშვილის ქუჩა - [824]"
"301","32","თავისუფლების მოედანი - [822]"
"301","33","პირველი კლასიკური გიმნაზია - [819]"
"301","34","ოპერის თეატრი - [817]"
"301","35","მ/ს ""რუსთაველი"" - [815]"
"301","36","ფილარმონია - [4357]"
"301","37","სიმონ ჯანაშიას ქუჩა - [4360]"
"301","38","სახელმწიფო უნივერსიტეტი - [3953]"
"301","39","რაფიელ ერისთავის ქუჩა - [3957]"
"301","40","მზიური - [3961]"
"301","41","ლადო კავსაძის ქუჩა - [3965]"
"301","42","ნიკოლოზ ყიფშიძის ქუჩა - [3969]"
"301","43","ვაკის პარკი - [3973]"
"301","44","ილიას სახელმწიფო უნივერსიტეტი - [1265]"
"301","45","უნივერსიტეტის ქუჩა - [1266]"
"301","46","ალექსანდრე ყაზბეგის გამზირი - [2927]"
"301","47","მ/ს ""დელისი"" - [4602]"
"301","48","პეტრე ქავთარაძის ქუჩა #19 - [3103]"
"301","49","დავით თავხელიძის ქუჩა - [990]"
"301","50","#122-ე საჯარო სკოლა - [988]"
"301","51","პეტრე ქავთარაძის ქუჩა #33 - [992]"
"301","52","#35-ე საჯარო სკოლა - [986]"
"301","53","პეტრე ქავთარაძის ქუჩა #45 - [984]"
"301","54","სპეციალური პენიტენციური სამსახური - [983]"
"301","55","სამშენებლო ზედამხედველობის სააგენტო - [967]"
"301","56","ანა პოლიტკოვსკაიას ქუჩა #5 - [968]"
"301","57","გეოლოგიის ინსტიტუტი - [966]"
"301","58","ელიზბარ მინდელის ქუჩა - [3447]"
"301","59","სოხუმის სახელმწიფო უნივერსიტეტი - [3256]"
"301","60","ანა პოლიტკოვსკაიას ქუჩა - [970]"
"300","1","ზაარბრიუკენის მოედანი - [865]"
"300","2","ივანე ჯავახიშვილის ქუჩა - [3414]"
"300","3","ლონდონის პარკი - [1725]"
"300","4","გიორგი ჩიტაიას მოედანი - [3413]"
"300","5","გიორგი მაზნიაშვილის ქუჩა - [4203]"
"300","6","კიევის ქუჩა - [3415]"
"300","7","დავით აღმაშენებლის გამზირი - [866]"
"300","8","მ/ს ""მარჯანიშვილი"" - [867]"
"300","9","ზურაბ ჭავჭავაძის ქუჩა - [3594]"
"300","10","გიორგი ტოვსტონოგოვის ქუჩა - [3595]"
"300","11","ია კარგარეთელის ქუჩა - [3596]"
"300","12","#24-ე საჯარო სკოლა - [3597]"
"300","13","გენერალ გიორგი კვინიტაძის ქუჩა - [802]"
"300","14","მერაბ ალექსიძის ქუჩა - [2779]"
"300","15","გმირთა მოედანი - [803]"
"300","16","სიმონ ჩიქოვანის ქუჩა - [3087]"
"300","17","მ/ს ""ტექნიკური უნივერსიტეტი"" - [1009]"
"300","18","ტექნიკური უნივერსიტეტი III კორპუსი - [1011]"
"300","19","გიორგი სააკაძის მოედანი - [1010]"
"300","20","თბილისის მერია - [2794]"
"300","21","ანა კალანდაძის ქუჩა - [4015]"
"300","22","მ/ს ""სამედიცინო უნივერსიტეტი"" - [1050]"
"300","23","ოთარ ჭილაძის ქუჩა - [1051]"
"300","24","რესპუბლიკური საავადმყოფო - [1054]"
"300","25","სამედიცინო უნივერსიტეტი - [1055]"
"300","26","მიხეილ ასათიანის ქუჩა - [997]"
"300","27","მ/ს ""დელისი"" - [4602]"
"300","28","მარშალ არჩილ გელოვანის პარკი - [1263]"
"300","29","ვაჟა-ფშაველას გამზირი #57 - [3099]"
"300","30","მ/ს ""ვაჟა-ფშაველა"" - [1261]"
"300","31","მ/ს ""ვაჟა-ფშაველა"" - [1318]"
"300","32","#122-ე საჯარო სკოლა - [987]"
"300","33","დავით თავხელიძის ქუჩა - [989]"
"300","34","ალექსანდრე ყაზბეგის გამზირი #44 - [3593]"
"300","35","კალისტრატე ქუთათელაძის ქუჩა - [994]"
"300","36","ანა ანტონოვსკაიას ქუჩა - [996]"
"300","37","გივი კარტოზიას ქუჩა - [999]"
"300","38","ვასო გოძიაშვილის ბაღი - [1000]"
"300","39","ტანძიის ქუჩა - [1001]"
"300","40","ტაშკენტის ქუჩა - [1003]"
"300","41","ეროვნული არქივი - [3833]"
"300","42","დები იშხნელების ქუჩა - [3844]"
"300","43","ანა კალანდაძის ქუჩა - [3265]"
"300","44","თბილისის მერია - [3008]"
"300","45","სულხან ცინცაძის ქუჩა - [930]"
"300","46","მ/ს ""ტექნიკური უნივერსიტეტი"" - [2119]"
"300","47","26 მაისის მოედანი - [925]"
"300","48","სიმონ ჩიქოვანის ქუჩა - [924]"
"300","49","ზოოპარკი - [804]"
"300","50","გმირთა მოედანი - [811]"
"300","51","დავით აღმაშენებლის გამზირი - [2126]"
"300","52","#24-ე საჯარო სკოლა - [801]"
"300","53","გიორგი ტოვსტონოგოვის ქუჩა - [914]"
"300","54","მ/ს ""მარჯანიშვილი"" - [915]"
"300","55","სანკტ პეტერბურგის ქუჩა - [916]"
"300","56","კიევის ქუჩა - [917]"
"300","57","დიმიტრი უზნაძის ქუჩა - [3739]"
"300","58","ზაარბრიუკენის მოედანი - [865]"
"299","1","საავადმყოფოების კომპლექსი - [2293]"
"299","2","ინფექციური საავადმყოფო - [893]"
"299","3","კონსტანტინე ჩაჩავას ქუჩა - [894]"
"299","4","მიხეილ ჭიაურელის ქუჩა - [2248]"
"299","5","ესმა ონიანის ქუჩა - [900]"
"299","6","დიღმის ტყეპარკი - [3299]"
"299","7","რობერტ ბარძიმაშვილის ქუჩა - [1268]"
"299","8","ბორის პაიჭაძის ქუჩა #14 - [1269]"
"299","9","ნოდარ ახალკაცის ქუჩა - [2095]"
"299","10","13 მაისის სკვერი - [897]"
"299","11","შოთა შალიკაშვილის ხიდი - [898]"
"299","12","მ/ს ""დიდუბე"" - [4599]"
"299","13","მ/ს ""დიდუბე"" - [4601]"
"299","14","შოთა შალიკაშვილის ხიდი - [3034]"
"299","15","13 მაისის სკვერი - [884]"
"299","16","ნოდარ ახალკაცის ქუჩა - [3577]"
"299","17","ბორის პაიჭაძის ქუჩა #11 - [886]"
"299","18","სიკო დოლიძის პარკი - [3298]"
"299","19","რობერტ ბარძიმაშვილის ქუჩა - [887]"
"299","20","დიღმის ტყეპარკი - [888]"
"299","21","ესმა ონიანის ქუჩა - [889]"
"299","22","მიხეილ ჭიაურელის ქუჩა - [2247]"
"299","23","კონსტანტინე ჩაჩავას ქუჩა - [890]"
"299","24","ინფექციური საავადმყოფო - [892]"
"299","25","საავადმყოფოების კომპლექსი - [2293]"
